Date,Open,High,Low,Close,Total Trades,Traded Quantity
2015-11-13 00:00:00+05:30,151.98456217368246,151.98456217368246,148.03198858265438,148.5734405517578,27726,4119347.212738037
2015-11-16 00:00:00+05:30,151.60553916570097,156.47858089111008,147.59882055297365,153.63597106933594,71373,10965460.163131714
2015-11-17 00:00:00+05:30,154.3669455937954,154.3669455937954,148.22150411514946,149.2231903076172,86132,12852891.827575684
2015-11-18 00:00:00+05:30,148.35684812625527,159.75433383152526,148.35684812625527,154.50228881835938,182640,28218298.029785156
2015-11-19 00:00:00+05:30,156.04541060689837,165.03344793969168,154.90837447681278,162.35328674316406,182751,29670225.505599976
2015-11-20 00:00:00+05:30,165.14174494850897,167.28046720741645,163.0842404801314,163.4632568359375,99944,16337171.741210938
2015-11-23 00:00:00+05:30,165.06054581961305,167.95730111763797,163.0301137185195,165.30419921875,74438,12304913.981445312
2015-11-24 00:00:00+05:30,165.68319124446947,168.7694542878163,165.19588451788118,167.713623046875,50715,8505596.392822266
2015-11-26 00:00:00+05:30,167.87606234567266,171.90985344402628,166.82024397302706,168.0384979248047,61307,10301936.192276001
2015-11-27 00:00:00+05:30,168.87775369794704,172.09938013902735,168.22802420321514,171.39549255371094,84023,14401163.470840454
2015-11-30 00:00:00+05:30,173.20933143191226,177.59506644321712,169.63577434555762,170.4479522705078,96575,16461010.990524292
2015-12-01 00:00:00+05:30,172.72204596724907,181.00619674599164,167.84900396402287,175.15855407714844,167745,29381971.653671265
2015-12-02 00:00:00+05:30,175.69999498074833,177.838717260616,170.4479498168158,174.31930541992188,95530,16652723.246765137
2015-12-03 00:00:00+05:30,172.722046205761,173.9944454600972,169.5004198340716,171.07061767578125,38741,6627446.799377441
2015-12-04 00:00:00+05:30,170.55622734408826,172.93858992657331,167.65947256361545,168.57994079589844,33773,5693450.340499878
2015-12-07 00:00:00+05:30,169.4733278616007,172.72202646076192,168.98602113796966,169.8252716064453,20347,3455434.801376343
